screen|27
lolita|27
s…|27
estava|27
tht|27
music|27
nazi|27
lovers|27
due|27
sore|27
glimmerveil|27
time.|26
friend|26
throat|26
dude|26
2018|26
me,|26
death|26
past|26
ok|26
use|26
emprestado|26
dan|26
died|26
omg|26
stay|25
sucks|25
sexy|25
soothing|25
down.|25
col…|25
thank|25
ain’t|25
syndrome|25
fully|25
make.|25
shots|25
pretty|25
air|25
dying|24
h…|24
fds|24
mascarenhas,|24
kena|24
xerém,|24
illegals|24
stupid|24
sem|24
disse”o|24
sound|24
final|24
atlético-go,|24
revelado|24
nobody|24
ffc|24
kill|24
slept|23
legitimately|23
recording|23
helping|23
immune|23
city|23
feels|23
baby|23
mas|23
12|23
drink|23
post|23
says|23
me.|23
rating|23
guess|23
everything|22
winter|22
mf|22
provides|22
saying|22
to…|22
vai|22
entire|22
millions|22
schedule|22
false|22
okay|22
cure|22
won’t|22
asleep|22
hey|22
behind|22
less|22
reported|22
taking|21
australia|21
crazy|21
hungry|21
ugh|21
headache”|21
system|21
spreading|21
human|21
left|21
instead|21
family|21
kivu|21
er.|21
isn’t|21
latest|21
fear|21
looking|21
fell|21
look|21
understand|21
protect|21
nigga|21
tweet|21
wash|21
days,|21
lose|20
hot|20
christmas|20
migraine|20
sa|20
listening|20
severe|20
dear|20
happening|20
lord|20
diseases?|20
blood|20
stents.|20
killing|20
epidemic|20
almost|20
bitch|20
old.|19
wtf|19
hell|19
i?|19
caravan|19
pertussis,|19
2017|19
tá|19
procurar|19
“turn|19
stress|19
fla|19
told|19
comes|19
playing|19
deserve|19
hiv,|19
real|19
tonight|19
escape|19
answer⬇️|19
hurt|19
mean|19
bringing?|19
di|19
guillain-barré|19
ive|19
goes|19
ago|19
try|19
idk|19
hospital.|19
play|19
13|19
north|19
nap|19
pls|19
doctor|19
rubell…|19
antis|18
anyone|18
exposed|18
misinterpreting|18
rid|18
abad|18
yellow|18
face|18
again.|18
friends|18
given|18
continues|18
eye|18
needs|18
headache!|18
missed|18
idols|18
care|18
ebola.|18
reactions|18
tips|18
i’ll|18
happy|18
wouldn’t|18
loona|18
9,|18
zika,|18
rates|18
disease|18
isso|18
weekend|18
caused|18
members’|18
straight|18
finales|17
prevent|17
hit|17
plain|17
th…|17
drinking|17
couple|17
pode|17
mouth|17
deal|17
sunday|17
in…|17
reason|17
causa|17
u.s.|17
voando|17
fica|17
weeks|17
age|17
save|17
bangtan:|17
lmao|17
nose|17
patient|17
até|17
working|17
tune|17
jungkook:|17
dont|17
p…|17
cold,|16
headache...|16
par|16
highly|16
experts|16
stream|16
namorada|16
serious|16
bro|16
else|16
lesiona|16
rather|16
😂😂😂|16
plus|16
frío|16
kept|16
ia|16
staying|16
felt|16
free|16
w…|16
late|16
wonder|16
poor|16
played|16
fighting|16
b…|16
des|16
fight|16
talk|16
jugó|16
decided|16
class|16
fayulu|16
yes|16
pensou|16
though|16
scientists|16
bloody|16
4.|16
infectious|16
niggas|16
everyday|15
you.|15
rdc|15
+5|15
bout|15
stock|15
pox,|15
constant|15
medicine|15
perdió|15
trump|15
quando|15
top|15
kind|15
bit|15
breathe|15
yeah|15
sick.|15
wasn’t|15
mumps,|15
super|15
494…|15
vegas|15
night,|15
dimanche|15
+3|15
totals|15
here’s|15
2010,…|15
1999,|15
allows|15
eh|15
cara|15
deaths;|15
1998,|15
enjoy|15
news:|15
following|15
3p.|15
colds|15
